"","X","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","NaiveDerivedTregsRatio","ThymusDerivedTregRatio","NaiveDerivedTregsCT","X4TregFromThymusCT"
"33",36,NA,35,76,"JA033018D12WTS","35_76_JA033018D12WTS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9948,"3/18/2018","M",12,"WT",10.9,0.095,31.64,757389,594789,586895,567243,548188,21392,10114,1406,513707,21075,9732,267688,36969,2151,11,172,160,5464,3019,187514,1116,5,100,87,12,0.488314227965588,0.0390231088604639,0.0184498748604493,0.00256481353112436,0.000313760972513079,0.102064056939502,0.00113029182079737,0.0674385429816049,0.25926453143535,0.310213727907933,0.700494605660321,0.518828451882845,0.454545454545455,15.4502621728312,1.23469116434508,0.583754040584617,0.0811507001247747,0.00992739717031383,0.126017589300416,0.000659812417430208,2.13375549993798,0.320111626191294,0.181088517111073,10.822825308106,0.065381510766743,0.000299914735195549,0.0780482853880354,0.0240157715514666,0.0963655283608905,0.0296520609395257
"34",37,NA,36,78,"JA033018D12KOS","36_78_JA033018D12KOS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9949,"3/18/2018","M",12,"KO",13.2,0.142,142.2,632534,489070,473112,460094,446281,19649,10621,2479,411328,19344,10360,249396,46459,1329,90,895,976,9611,5787,204094,966,84,700,122,12,0.558831767429041,0.0440283139994757,0.0237989069666869,0.0055547961934297,0.00200546292582476,0.0687034739454094,0.00868725868725869,0.104102572146249,0.496846567411084,0.558590733590734,0.818353141189113,0.72686230248307,0.933333333333333,79.4658773284097,6.26082625072544,3.38420457066288,0.789892018705703,0.285176828052281,0.430140513193451,0.0293994605559516,14.8033857591966,3.11067003183014,1.89038531374769,65.0311503290528,0.312652923811041,0.0274394965188882,0.0451254256081388,0.0235780483372706,0.282522449222593,0.147618063970857
"35",38,NA,17,80,"JA042618D7WTS_1","17_80_JA042618D7WTS_1.fcs compensated","JA","4/26/2018","Spleen",8813,1,10021,"4/19/2018",NA,7,"WT",4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,0.286314350721328,0.052870310950353,0.0189124655170977,0.00395042796302933,0.000304199621625676,0.130595499228207,0.000856478649210816,0.0774938118296149,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.0347637660746581,0.00267695667030595,0.0607606969456246,0.000142543481690104,0.681945544100611,0.11836523949314,0.0494218614374117,1.12445014876612,0.0341507245352235,4.07267090543153e-05,0.107677914389071,0.0229175848391362,0.0500980903828738,0.0106626065627508
"36",39,NA,20,82,"JA042618D7KOS_2","20_82_JA042618D7KOS_2.fcs compensated","JA","4/26/2018","Spleen",8813,1,10025,"4/19/2018",NA,7,"KO",4.549,0.034,7.7,510250,405162,401306,394772,385705,14378,5909,2176,360222,13791,5202,133261,23916,152,6,107,190,3073,1863,59726,31,5,120,22,7,0.345499799069237,0.0372771937102189,0.015319998444407,0.00564161729819422,0.00027741408589466,0.011021680806323,0.00115340253748558,0.0620059371799691,0.222826481038358,0.358131487889273,0.448188142067071,0.203947368421053,0.833333333333333,2.66034845283312,0.287034391568686,0.117963988021934,0.0434404531960955,0.00213608846138889,0.00316360144430718,0.000136059963116417,0.477445716285762,0.0639588634102365,0.0422466185476476,1.19233663032629,0.00064520818929949,0.000113383302597014,0.00272869389294397,0.00829298691337903,0.000783228991338362,0.00238037245296883
"37",40,NA,19,84,"JA042618D7WTS_3","19_84_JA042618D7WTS_3.fcs compensated","JA","4/26/2018","Spleen",8813,1,10022,"4/19/2018",NA,7,"WT",4.018,0.028,11.6,535957,392565,386915,380653,370786,11340,4322,2098,351098,10912,3751,91985,18912,1226,22,67,217,3191,1274,44377,676,21,142,15,7,0.24808110338578,0.0305836789954313,0.0116563192785057,0.00565825031150043,0.000180697221577945,0.112353372434018,0.00586510263929619,0.0510051620071955,0.292430351906158,0.339642761930152,0.482437353916399,0.551386623164764,0.954545454545455,2.87774079927505,0.354770676347003,0.135213303630666,0.065635703613405,0.00209608777030416,0.0398596819282832,0.000793039903992174,0.591659879283468,0.10374571373014,0.0459242198948195,1.38832965645952,0.0219780954188576,0.000756992635628893,0.0919369127926611,0.0204164596413569,0.0326165207327078,0.00724316119557548
"38",41,21,22,86,"JA042618D7KOS_4","22_86_JA042618D7KOS_4.fcs compensated","JA","4/26/2018","Spleen",8813,1,10027,"4/19/2018",NA,7,"KO",4.747,0.034,9.5,480296,392141,389067,381971,372224,12522,4931,487,352910,12048,4515,123810,20187,147,36,63,115,2478,1446,53574,66,34,51,13,7,0.332622291953232,0.0336410333562586,0.0132473994154058,0.00130835196011004,0.000169252922971114,0.0122011952191235,0.0079734219269103,0.0542334723177442,0.205677290836653,0.320265780730897,0.432711412648413,0.448979591836735,0.944444444444444,3.15991177355571,0.319589816884457,0.125850294446355,0.0124293436210454,0.00160790276822558,0.00389937774585119,0.00100345749724668,0.515217987018569,0.0657323677157772,0.0403055428060751,1.36732988737964,0.00175074102874951,0.000947709858510757,0.00249245735504583,0.00970873786407767,0.000796563989691415,0.00310281375615978
"39",42,NA,9,88,"GM042718D4WTS","9_88_GM042718D4WTS.fcs compensated","GM","4/27/2018","Spleen",1307,0,2,"4/23/2018",NA,4,"WT",2.4,0.013,11.5,538608,302612,289484,281555,260842,5269,2426,25613,223420,5060,2103,83512,9763,119,4,7166,24418,3639,1781,65589,50,1,23479,6186,4,0.320163163907653,0.0201999677965972,0.00930064943529033,0.0981935424509857,0.0274725696015212,0.0235177865612648,0.0019020446980504,0.0374287883086313,0.719169960474308,0.846885401806942,0.785384136411534,0.420168067226891,0.25,3.68187638493801,0.232299629660867,0.106957468505839,1.12922573818634,0.315934550417494,0.00546317310862514,0.000203437885888424,0.43043106554926,0.167062915481403,0.0905807186918207,2.89168730495856,0.00229545088597695,5.08594714721059e-05,0.0009450717692722,0.0225727147919926,0.000219539822004872,0.00524363328662026
"40",43,NA,10,90,"GM042718D4KOS","10_90_GM042718D4KOS.fcs compensated","GM","4/27/2018","Spleen",1307,0,1,"4/23/2018",NA,4,"KO",2.9,0.02,9.75,548616,350468,327953,314181,287432,9676,4849,366,270531,9274,4420,149588,13161,110,3,12175,303,4304,3243,103625,11,1,152,9988,4,0.520429179771215,0.0336636143505246,0.0168700770964959,0.00127334465195246,0.0423578446380361,0.0118611171015743,0.000678733031674208,0.0457882212140611,0.464093163683416,0.733710407239819,0.692736048346124,0.1,0.333333333333333,5.07418450276935,0.328220239917615,0.164483251690835,0.0124151103565365,0.412988985220852,0.00389305870076964,0.000111640216079752,0.446435156837095,0.152324769528296,0.120683073582212,3.51507052102758,0.000389305870076964,3.72134053599174e-05,0,0.0185867087497808,0,0.00610053400513189
"41",44,NA,23,92,"AD050318D9WTS_1","23_92_AD050318D9WTS_1.fcs compensated","AD","5/3/2018","Spleen",1293,1,10037,NA,NA,9,"WT",6.2,0.054,7.25,607724,386577,375993,367162,359208,8750,4135,356,345034,8560,3903,69060,13295,961,4,3196,170,3158,1610,49525,647,1,134,1774,9,0.192256297187145,0.0243591456760428,0.0115114362709071,0.000991069241219572,0.00889735195207234,0.112266355140187,0.00102485267742762,0.0370119819157703,0.36892523364486,0.412503202664617,0.717130031856357,0.673257023933403,0.25,1.3938581546068,0.176603806151311,0.0834579129640765,0.0071852519988419,0.0645058016525244,0.0198266656204918,8.55320655537551e-05,0.268336868889334,0.0651536004469438,0.0344266563853864,0.999577542816418,0.013348441890175,2.13830163884388e-05,0.0910626300574501,0.0212037250827369,0.0160820070662945,0.00374465855419736
"42",45,NA,24,94,"AD050318D9KOS_2","24_94_AD050318D9KOS_2.fcs compensated","AD","5/3/2018","Spleen",1293,1,10039,NA,NA,9,"KO",7.7,0.063,9.15,724942,518234,499001,490133,480714,9850,3356,538,465911,9717,3233,151489,18071,139,9,4756,324,5045,1642,103840,27,1,214,2344,9,0.315133322516091,0.0204903539318597,0.00698128200967727,0.00111916857008533,0.00989361657867256,0.0143048265925697,0.00278379214351995,0.0375919985687956,0.51919316661521,0.507887411073306,0.685462310794843,0.194244604316547,0.111111111111111,2.88346990102223,0.187486738476516,0.063878730388547,0.0102403924162808,0.0905265916948539,0.00268196528231303,0.000177825107793666,0.34396678690448,0.0973418334479803,0.0324432029996889,1.97650994146208,0.000520957285053611,1.97583453104074e-05,0,0.0196116193227411,0,0.00367691854306375
"43",46,NA,25,96,"AD050318D9WTS_3","25_96_AD050318D9WTS_3.fcs compensated","AD","5/3/2018","Spleen",1293,1,10036,NA,NA,9,"WT",5.7,0.054,9.15,609005,364344,348474,336383,323468,6878,3548,1656,310315,6732,3323,53959,12847,777,3,5261,1496,2572,1498,37666,493,1,1343,3013,9,0.166814027971855,0.0212633088899056,0.0109686274994744,0.00511951723199822,0.0162643599985161,0.11541889483066,0.000902798675895275,0.0397164479948557,0.382055852644088,0.450797472163707,0.698048518319465,0.634491634491634,0.333333333333333,1.52634835594247,0.194559276342637,0.100362941620191,0.0468435826727837,0.148818893986422,0.02245581665452,9.06075308036634e-05,0.36340549915293,0.0743325102129028,0.0452433603812959,1.06546520830499,0.0142480278129709,3.02025102678878e-05,0.0904489220131621,0.0249699728174979,0.0175976768128524,0.00485813984166771
"44",47,NA,26,98,"AD050318D9KOS_4","26_98_AD050318D9KOS_4.fcs compensated","AD","5/3/2018","Spleen",1293,1,10040,NA,NA,9,"KO",8.4,0.065,10.2,570040,391121,380553,376209,372089,8439,2813,399,359677,8179,2627,142595,10697,115,6,4256,168,3744,1147,79996,19,0,107,1778,9,0.383228206154979,0.0226800577281242,0.00756001924270806,0.00107232409450427,0.0114381236747122,0.0140603985817337,0.00228397411496003,0.0287484983431383,0.457757672087052,0.436619718309859,0.561001437638066,0.165217391304348,0,3.90892770278079,0.231336588826867,0.0771121962756222,0.0109377057639436,0.116668861482065,0.00325268464544439,0.000176122260241238,0.293234683100011,0.105896098369946,0.0336687054161167,2.19291406088328,0.00053740007185603,0,0,0.0178742759674496,0,0.00413497403005984
"45",48,NA,27,100,"AD051018D9WTS_T5","27_100_AD051018D9WTS_T5.fcs compensated","AD","5/10/2018","Spleen",1328,0,5,NA,NA,9,"WT",4.7,0.027,12.5,325553,240283,236301,233332,230924,4100,2483,569,222715,3961,2276,48802,7630,540,1,334,537,1080,450,28499,261,1,255,21,9,0.211333598932982,0.0177547591415357,0.0107524553532764,0.00246401413452045,0.00144636330567633,0.136329209795506,0.000439367311072056,0.0330411737194921,0.272658419591012,0.197715289982425,0.583971968361952,0.483333333333333,1,2.64166998666228,0.221934489269197,0.134405691915955,0.0308001766815056,0.0180795413209541,0.0302561535484388,5.90534674498924e-05,0.413014671493652,0.0605123070968777,0.0265740603524516,1.54266122187386,0.0146238075484121,5.90534674498924e-05,0.116269774431464,0.0200594353640416,0.0258042730058918,0.00445188054254704
"46",49,NA,28,102,"AD051018D9KOS_T3","28_102_AD051018D9KOS_T3.fcs compensated","AD","5/10/2018","Spleen",1328,0,3,NA,NA,9,"KO",5.9,0.039,12.4,369441,267216,264416,260289,257301,7868,3021,819,244227,7738,2859,111404,12878,126,8,763,675,2299,1031,69273,10,1,420,88,9,0.43297150030509,0.030578971710176,0.0117411125491156,0.00318304242890622,0.0029653985021434,0.0162832773326441,0.00279818118223155,0.0500503301580639,0.297105195140863,0.360615599860091,0.621817888047108,0.0793650793650794,0.125,5.36884660378312,0.379179249206183,0.145589795609034,0.0394697261184372,0.0367709414265782,0.00617428087360804,0.000407386626398136,0.620624093959992,0.112656124828769,0.0525019514770598,3.33844485641331,0.000490022291556194,5.0923328299767e-05,0,0.0245431505935708,0,0.00930625341522446
"47",50,NA,29,104,"AD051018D9WTS_T1","29_104_AD051018D9WTS_T1.fcs compensated","AD","5/10/2018","Spleen",1328,0,1,NA,NA,9,"WT",6.7,0.059,10.6,594739,446760,443291,437930,433603,12770,5420,621,412819,12589,5179,159048,21431,1178,2,814,521,2393,1365,100448,325,1,211,99,9,0.366805580219694,0.0294509032455956,0.0124999135153585,0.00143218566292207,0.00187729328440993,0.0935737548653586,0.000386174937246573,0.0494253960420016,0.1900865835253,0.263564394670786,0.631557768723907,0.275891341256367,0.5,3.88813915032876,0.312179574403314,0.1324990832628,0.015181168026974,0.0198993088147453,0.0292118149691877,5.11678251642403e-05,0.523909198045216,0.059341148744708,0.034922040674594,2.4555844862697,0.00805928681238199,2.55839125821202e-05,0.0561803985393466,0.037393356326012,0.0175383729058218,0.0116734420633659
"48",51,NA,30,106,"AD051018D9KOS_T4","30_106_AD051018D9KOS_T4.fcs compensated","AD","5/10/2018","Spleen",1328,0,4,NA,NA,9,"KO",6.6,0.048,13.55,341090,245007,242256,237934,234548,4344,1810,637,226831,4286,1754,95316,7864,85,6,439,577,1337,653,64334,3,0,360,47,9,0.40638163616829,0.0185207292323959,0.0077169705134983,0.00271586199839692,0.00187168511349489,0.0198320111992534,0.00342075256556442,0.0335283182973208,0.311945870275315,0.372291904218928,0.674954886902514,0.0352941176470588,0,5.50647117008033,0.250955881098965,0.104564950457902,0.0367999300782782,0.0253613332878558,0.00497695984447317,0.000357690822546985,0.454308712928697,0.078284650730125,0.0389286845205302,3.71661962583352,0.000175657406275524,0,0,0.0330235317381847,0,0.00828744950435578
"49",52,NA,11,108,"AD052218D4WTS_T2","11_108_AD052218D4WTS_T2.fcs compensated","AD","5/22/2018","Spleen",1372,0,2,NA,NA,4,"WT",2.9,0.027,4.8,631926,500521,489568,471063,457170,7798,3099,236,443831,7551,2948,182210,15353,220,0,260,206,4008,2029,125941,93,0,155,108,4,0.398560710457817,0.0170571122339611,0.00677866001706149,0.000516219349476125,0.000568716232473697,0.0291352138789564,0,0.0335826935275718,0.530790623758443,0.688263229308005,0.691185994182537,0.422727272727273,NA,1.91309141019752,0.0818741387230133,0.0325375680818951,0.0024778528774854,0.00272983791587375,0.00238542054285034,0,0.161196928932345,0.0434580251624735,0.0223944116818742,1.32230198831944,0.00100838232038674,NA,0.007652484308611,0.0214827295703454,0.0006265405618589,0.00175887998099144
"50",53,NA,12,110,"AD052218D4KOS_T4","12_110_AD052218D4KOS_T4.fcs compensated","AD","5/22/2018","Spleen",1372,0,4,NA,NA,4,"KO",2.9,0.026,5.1,739760,605319,595890,574267,557700,9267,3594,2691,538823,8803,3463,207311,18134,45,0,342,2603,4252,2412,136862,8,0,2434,122,4,0.371724941724942,0.0166164604626143,0.00644432490586337,0.00482517482517482,0.000613232920925229,0.00511189367261161,0,0.0325156894387664,0.483017153243213,0.696505919722784,0.66017722166214,0.177777777777778,NA,1.8957972027972,0.084743948359333,0.0328660570199032,0.0246083916083916,0.00312748789671867,0.000433202053410199,0,0.165830016137708,0.0409327806911148,0.0228914032723091,1.25156213017751,7.70136983840354e-05,NA,0,0.00940940940940941,0,0.000797390505082813
"51",54,NA,13,112,"AD052218D4WTS_T3","13_112_AD052218D4WTS_T3.fcs compensated","AD","5/22/2018","Spleen",1372,0,3,NA,NA,4,"WT",2.9,0.027,5.45,934998,749203,730455,700513,675902,7346,2889,266,662635,6840,2752,189312,18422,122,0,633,230,3402,1922,118384,59,0,189,199,4,0.280087941743034,0.0108684395075026,0.00427428828439626,0.000393548177102598,0.000936526301150167,0.0178362573099415,0,0.0272554305209927,0.497368421052632,0.698401162790698,0.625338066260987,0.483606557377049,NA,1.52647928249953,0.059232995315889,0.0232948711499596,0.00214483756520916,0.00510406834126841,0.00105649494569276,0,0.14854209633941,0.0294606213544816,0.0162691650981913,0.954565602705718,0.000510927883572727,NA,0,0.0233984876587245,0,0.00138596250988811
"52",55,NA,14,114,"AD052218D4KOS_T7","14_114_AD052218D4KOS_T7.fcs compensated","AD","5/22/2018","Spleen",1372,0,7,NA,NA,4,"KO",2.6,0.02,4.55,484129,393402,388187,374928,364361,6896,2440,3598,348943,6557,2324,142407,12161,39,0,166,3508,4034,1824,102244,7,0,3251,107,4,0.390840402787345,0.0189262846462711,0.00669665524026995,0.009874821948562,0.000455592118805251,0.00594784200091505,0,0.0333762394987389,0.615220375171572,0.784853700516351,0.717970324492476,0.179487179487179,NA,1.77832383268242,0.0861145951405337,0.0304697813432283,0.0449304398659571,0.00207294414056389,0.000512196005868662,0,0.151861889719262,0.0529794535301072,0.0239143206411568,1.2767837392037,9.19326164379649e-05,NA,0,0.0109777015437393,0,0.000945340324012722
"53",64,NA,116,2,"JP090617D19KOT","116_2_JP090617D19KOT.fcs compensated","JP","9/6/2017","Thymus",1277,1,8863,"8/18/2017","F",18,"KO",11.7,0.096,120.5,50000,48113,47654,45934,43907,5735,1189,32160,2306,5185,787,410,7224,118,7,1812,32160,0,0,0,0,0,0,0,18,0.009337918782882,0.13061698590202,0.0270799644703578,0.732457239164598,0.0412690459380053,0.0227579556412729,0.00889453621346887,0.164529573872048,0,0,0,0,0,1.12521921333728,15.7393468011934,3.26313571867812,88.2610973193341,4.97292003552964,0.358195356324171,0.0290240788192463,19.8258136515818,0,0,0,0,0,0,0.0227579556412729,0,0.35819535632417
"54",65,NA,115,4,"JP090617D19WTT","115_4_JP090617D19WTT.fcs compensated","JP","9/6/2017","Thymus",1277,1,8864,"8/18/2017","F",18,"WT",11.9,0.041,120.5,50000,48749,48439,46824,44942,5181,1038,34424,1800,4536,581,122,6221,169,7,1642,34424,0,0,0,0,0,0,0,18,0.00271460994170264,0.115281918917716,0.0230964354056339,0.765965021583374,0.0365359797071781,0.0372574955908289,0.0120481927710843,0.138422856125673,0,0,0,0,0,0.327110497975168,13.8914712295848,2.78312046637889,92.2987851007966,4.40258555471497,0.517561428086383,0.033531571884083,16.6799541631436,0,0,0,0,0,0,0.0372574955908289,0,0.517561428086382
"55",66,NA,118,6,"JP091317D19KOT","118_6_JP091317D19KOT.fcs compensated","JP","9/13/2017","Thymus",1218,1,NA,"8/25/2017","F",18,"KO",10.7,0.095,85.25,30000,26087,25944,25447,23875,1645,752,12007,6304,1515,343,260,23379,40,6,5217,12007,0,0,0,0,0,0,0,18,0.0108900523560209,0.0689005235602094,0.0314973821989529,0.502910994764398,0.218513089005236,0.0264026402640264,0.0174927113702624,0.979225130890052,0,0,0,0,0,0.928376963350785,5.87376963350785,2.68515183246073,42.8731623036649,18.6282408376963,0.15508302662727,0.0469705859905668,83.478942408377,0,0,0,0,0,0,0.0264026402640264,0,0.15508302662727
"56",67,NA,117,8,"JP091317D19WTT","117_8_JP091317D19WTT.fcs compensated","JP","9/13/2017","Thymus",1218,1,NA,"8/25/2017","M",18,"WT",11.1,0.066,83.75,30000,28926,28773,27938,27475,2548,604,8791,12625,1989,263,58,26668,69,5,11983,8791,0,0,0,0,0,0,0,18,0.00211101000909918,0.0927388535031847,0.0219836214740673,0.319963603275705,0.43614194722475,0.0346907993966818,0.0190114068441065,0.970627843494085,0,0,0,0,0,0.176797088262056,7.76687898089172,1.84112829845314,26.7969517743403,36.5268880800728,0.269439240664419,0.0350024391340901,81.2900818926297,0,0,0,0,0,0,0.0346907993966818,0,0.269439240664419
"57",68,NA,96,10,"JA102517D12KOT","96_10_JA102517D12KOT.fcs compensated","JA","10/25/2017","Thymus",7699,0,2,"10/13/2017",NA,12,"KO",4.5,0.025,24.56,100000,97133,96922,93707,92906,10016,3807,64222,5183,7941,1086,91,92528,56,28,5043,64222,5439,1043,73,56,28,59766,4493,12,0.00097948464038921,0.107807891847674,0.0409769013841948,0.691257830495339,0.0542806707855252,0.00705200856315326,0.0257826887661142,0.995931371493768,0.68492633169626,0.960405156537753,0.802197802197802,1,1,0.024056142767959,2.64776182377887,1.00639269799582,16.9772923169655,1.3331332744925,0.0186720390544789,0.0259475097089163,24.4600744838869,1.81352179316626,0.966544736657131,0.0192977848578133,0.0186720390544789,0.0259475097089163,0,0.00705200856315326,0,0.0186720390544789
"58",69,NA,95,12,"JA102517D12WTT","95_12_JA102517D12WTT.fcs compensated","JA","10/25/2017","Thymus",7699,0,3,"10/13/2017",NA,12,"WT",10.2,NA,66,100000,95969,95711,91045,89620,9324,3076,68420,2693,7818,704,218,88775,122,34,2567,68420,4839,647,141,120,34,65309,2232,12,0.00243249274715465,0.10403927694711,0.0343226958268244,0.763445659451015,0.0286431600089266,0.0156050140700947,0.0482954545454545,0.990571301048873,0.618956254796623,0.919034090909091,0.646788990825688,0.983606557377049,1,0.160544521312207,6.86659227850926,2.26529792457041,50.387413523767,1.89044856058915,0.10715326911974,0.109403592948003,65.3777058692256,4.2501202399215,2.08188601874582,0.103838428922116,0.105396658150564,0.109403592948003,0,0.0156050140700947,0,0.107153269119741
"59",70,NA,102,18,"JA103117D14KOT","102_18_JA103117D14KOT.fcs compensated","JA","10/31/2017","Thymus",7812,1,9169,"10/17/2017","M",14,"KO",9.7,0.069,91,50000,49073,48824,48421,48157,2184,480,40278,2564,2108,213,105,47467,50,16,2157,40278,1054,127,50,42,16,38011,1725,14,0.00218036837842889,0.0453516622713209,0.00996739830138921,0.836389309965322,0.0447909961168677,0.023719165085389,0.0751173708920188,0.985671864941753,0.5,0.596244131455399,0.476190476190476,0.84,1,0.198413522437029,4.1270012666902,0.907033245426418,76.1114272068443,4.07598064663496,0.0978890243522344,0.0681339527080877,89.6961397096995,2.0635006333451,0.540813249620446,0.0944826297319185,0.0822267804558769,0.0681339527080877,0,0.023719165085389,0,0.0978890243522344
"60",71,NA,101,20,"JA103117D14WTT","101_20_JA103117D14WTT.fcs compensated","JA","10/31/2017","Thymus",7812,1,9172,"10/17/2017","F",14,"WT",10.2,0.074,107,50000,48986,48734,48125,47745,2853,309,38848,3031,2571,232,77,47342,154,33,2825,38848,1559,154,51,135,32,37686,2531,14,0.00161273431772961,0.0597549481621112,0.00647188187244738,0.813655880196879,0.0591684993193005,0.0598988720342279,0.142241379310345,0.991559325583831,0.606378840917931,0.663793103448276,0.662337662337662,0.876623376623377,0.96969696969697,0.172562571997068,6.3937794533459,0.692491360351869,87.0611791810661,6.33102942716515,0.382980177291042,0.0985009262569469,106.09684783747,3.87705257400477,0.459670989199086,0.114294690543512,0.335729376196693,0.0955160497037061,0,0.0598988720342279,0,0.382980177291042
"61",72,NA,112,22,"JA111417D18KOT","112_22_JA111417D18KOT.fcs compensated","JA","11/14/2017","Thymus",1217,1,9205,"10/27/2017","",18,"KO",10.7,0.089,108.537,215864,206343,205598,204331,203480,17488,7111,153593,10526,16707,3666,2670,197655,405,150,7376,153593,6523,1608,877,0,145,147157,6150,18,0.0131216827206605,0.0859445645763711,0.0349469235305681,0.754830941615884,0.0362492628268134,0.02424133596696,0.0409165302782324,0.971373107922154,0.390435146944395,0.438625204582651,0.328464419475655,0,0.966666666666667,1.42418807745233,9.3281652054256,3.79303423923727,81.9270859101632,3.93438623943385,0.226127186700028,0.155197800296124,105.429923014547,3.64204355270193,1.66372041917445,0.467795110084529,0,0.150024540286253,0,0.02424133596696,0,0.226127186700028
"62",73,NA,111,24,"JA111417D18WTT","111_24_JA111417D18WTT.fcs compensated","JA","11/14/2017","Thymus",1217,1,9206,"10/27/2017","",18,"WT",10.9,0.068,119.91,227672,206660,205697,204464,203239,24710,7078,144213,11389,22775,4063,863,200136,873,132,9912,144213,9798,2121,434,0,123,138991,8389,18,0.00424623226841305,0.121580995773449,0.0348259930426739,0.709573457850117,0.0487701671431172,0.0383315038419319,0.0324883091311839,0.984732261032577,0.430208562019758,0.522028058085159,0.502896871378911,0,0.931818181818182,0.509165711305409,14.5787772031943,4.17598482574703,85.0849533308076,5.84803074213119,0.558826454374911,0.135670685946002,118.079245420416,6.27191477659264,2.17998124917781,0.256057843228908,0,0.126420411904229,0,0.0383315038419319,0,0.558826454374912
"63",76,NA,124,33,"JA022518WK8M2WTT","124_33_JA022518WK8M2WTT.fcs compensated","JA","2/25/2018","Thymus",9296,1,9550,"12/24/2017","F",56,"WT",20.8,0.098,56.1,350887,332172,330879,323471,319880,30953,15227,247390,13023,29641,13176,4396,304273,1259,521,10392,247390,5662,1911,1894,1,493,5937,5589,56,0.0137426534950606,0.0967644116543704,0.047602225834688,0.773383768913342,0.0324871826935101,0.0424749502378462,0.039541590771099,0.951209828685757,0.191019196383388,0.145036429872495,0.430846223839854,0.00079428117553614,0.946257197696737,0.770962861072902,5.42848349381018,2.670484869326,43.3868294360385,1.82253094910591,0.230574566266557,0.1055952198633,53.362871389271,1.03694455456811,0.38731759147556,0.33216643741403,0.000183141037542936,0.0999202368380174,0,0.0424749502378462,0,0.230574566266557
"64",77,NA,125,35,"JA022518WK8M3WTT","125_35_JA022518WK8M3WTT.fcs compensated","JA","2/25/2018","Thymus",9296,1,9553,"12/24/2017","F",56,"WT",19.7,0.079,27.075,340166,323492,321630,315628,313303,40698,23699,212254,14986,39103,22684,6765,298846,2047,602,11151,212254,7902,1974,2776,2,575,5744,5503,56,0.0215925158712173,0.129899809449638,0.075642429213892,0.677471968030948,0.0355917434560154,0.0523489246349385,0.0265385293599013,0.953856171182529,0.202081681712401,0.0870216892964204,0.410347376201035,0.000977039570102589,0.95514950166113,0.584617367213209,3.51703734084895,2.04801877096613,18.3425535344379,0.963646454071618,0.184113122694366,0.0543514062829134,25.825655834767,0.710728820484066,0.178222053160251,0.239896202717497,0.000179885806247549,0.0519137186257063,0,0.0523489246349385,0,0.184113122694366
"65",78,NA,126,37,"JA022518WK8M4WTT","126_37_JA022518WK8M4WTT.fcs compensated","JA","2/25/2018","Thymus",9319,1,9519,"12/25/2017","M",56,"WT",22.6,0.069,30.6,340493,321066,319370,312971,310504,36992,17076,234050,10674,35267,16381,7381,296813,1356,677,7746,234050,7686,1863,4376,2,670,4672,4510,56,0.0237710303248911,0.119135341251642,0.0549944606188648,0.753774508540953,0.0249465385309046,0.0384495420648198,0.0413283682314877,0.955907170278,0.217937448606346,0.113729320554301,0.592873594363907,0.00147492625368732,0.989660265878877,0.727393527941669,3.64554144230026,1.68283049493726,23.0654999613532,0.763364079045681,0.140169399034768,0.0695486383659439,29.2507594105068,0.794500000723617,0.191387168797273,0.431252415427821,0.000206739526599952,0.068829523936754,0,0.0384495420648198,0,0.140169399034768
"66",79,NA,79,39,"GM030918D7WTT","79_39_GM030918D7WTT.fcs compensated","GM","3/9/2018","Thymus",8813,0,6,"3/2/2018",NA,7,"WT",3.3,0.016,9.8,227066,209024,207706,194294,192019,10799,5265,141899,20092,10268,1238,304,191088,380,37,19573,141899,3184,656,135,0,31,109412,13824,7,0.00158317666480921,0.0562392263265614,0.0274191616454622,0.738984163025534,0.101932621251022,0.037008180755746,0.0298869143780291,0.995151521464022,0.310089598753409,0.529886914378029,0.444078947368421,0,0.837837837837838,0.0155151313151303,0.551144418000302,0.268707784125529,7.24204479765023,0.998939688260016,0.0203968522438756,0.00803084653686961,9.75248491034741,0.170904151432895,0.142384738599634,0.00688994318270588,0,0.00672854709845833,0,0.037008180755746,0,0.0203968522438756
